index,index_0,index_1,index_2,index_3,index_4,id_0,id_1,id_2,id_3,id_4,statement_0,statement_1,statement_2,statement_3,statement_4,answer_0,answer_1,answer_2,answer_3,answer_4,output_answer_0,output_answer_1,output_answer_2,output_answer_3,output_answer_4,output_explanation_0,output_explanation_1,output_explanation_2,output_explanation_3,output_explanation_4,explanation_0,explanation_1,explanation_2,explanation_3,explanation_4,other_answer1_0,other_answer1_1,other_answer1_2,other_answer1_3,other_answer1_4,other_answer2_0,other_answer2_1,other_answer2_2,other_answer2_3,other_answer2_4,img_name_0,img_name_1,img_name_2,img_name_3,img_name_4
0,2410,4866,932,4293,3496,160541986.jpg#3r1e,177591612.jpg#1r4c,2384401298.jpg#1r1c,4967261262.jpg#1r1e,5489602545.jpg#3r1e,She is wearing jewelry.,Two men are lying in bunk beds sleeping.,Two puppies drowned in a stream.,People are having fun together.,Someone is sweeping,entailment,contradiction,contradiction,entailment,entailment,entailment,contradiction,contradiction,entailment,entailment,a pearl necklace is a type of jewelry,the men cannot be doing a handstand and lying in bunk beds simultaneously,the dogs cannot be walking and drowned at the same time,the people are having fun because they are performing a routine,a person is someone,"when a girl is decked out with jewelry, she is wearing the jewelry",upside down is different than sleeping,a dog and puppies are not the same,there are three girls having fun together,a shopkeeper is someone,contradiction,entailment,entailment,contradiction,contradiction,neutral,neutral,neutral,neutral,neutral,160541986.jpg%233r1e.jpg,177591612.jpg%231r4c.jpg,2384401298.jpg%231r1c.jpg,4967261262.jpg%231r1e.jpg,5489602545.jpg%233r1e.jpg
5,12430,7351,6492,3548,9820,3415178926.jpg#4r1n,3732728142.jpg#0r1e,410422753.jpg#4r5e,2446830166.jpg#2r2c,4791513183.jpg#2r1n,The man tried to get the dog to play catch.,There is a baby wearing a hat.,There is snow in the picture.,A man in stilts sits on a park bench with a woman.,The girl is bored.,neutral,entailment,entailment,contradiction,neutral,neutral,entailment,entailment,contradiction,neutral,the man could have been playing with the dog instead of trying to get it to play catch,a baby wearing a hat is part of the overall description of the baby in a stroller,a dog is running in the snow,the man cannot be walking and sitting at the same time,just because a girl is standing in the doorway of a building doesn't mean she is bored,the man is trying to get a stick away from the dog. it is unknown whether or not he is playing catch,just because a baby is wearing a red beanie it does not mean the baby is wearing a hat,if a dog is in the snow then there is snow,the man cannot be on stilts walking behind a woman and sitting on a park bench simultaneously,there is a girl in the picture but no way to tell whether she feels bored,entailment,contradiction,contradiction,entailment,entailment,contradiction,neutral,neutral,neutral,contradiction,3415178926.jpg%234r1n.jpg,3732728142.jpg%230r1e.jpg,410422753.jpg%234r5e.jpg,2446830166.jpg%232r2c.jpg,4791513183.jpg%232r1n.jpg
10,7395,5336,4334,13553,3973,4842876705.jpg#4r1e,4586247564.jpg#0r1e,390369.jpg#0r1c,4715269800.jpg#1r1n,3399944164.jpg#4r1c,"Man playing music, smoking",A woman is walking on the road.,A man dressed as the Statue of Liberty is in a jail cell for inciting a riot.,A girl is looking out the window of the ambulance.,The man and woman are jogging down a trail.,entailment,entailment,contradiction,contradiction,contradiction,entailment,entailment,contradiction,contradiction,contradiction,a man playing music is smoking,a woman walking on the road is part of her overall description of walking along a road,the man is either in a jail cell or in the street,a man is not a girl,the man and woman cannot be laying down and jogging at the same time,one can make music while playing a big instrument,a middle-aged woman is a woman and a breakwater in a european coastal town is a road,the man is either in jail or in the middle o the street,a man is looking out the window of the ambulance ,you can not be laid back relaxing when your jogging down a trail,contradiction,contradiction,entailment,entailment,entailment,neutral,neutral,neutral,neutral,neutral,4842876705.jpg%234r1e.jpg,4586247564.jpg%230r1e.jpg,390369.jpg%230r1c.jpg,4715269800.jpg%231r1n.jpg,3399944164.jpg%234r1c.jpg
15,3310,14325,420,6442,5488,86120682.jpg#4r1c,2518853257.jpg#2r1n,4365035558.jpg#0r1c,2202059975.jpg#1r1c,2536957963.jpg#3r1c,A woman eats lunch in the park.,A man and a woman are in lawn chairs reading books,A family is skiing in Aspen.,The people are sitting inside.,Two men run through a field.,contradiction,entailment,contradiction,contradiction,contradiction,contradiction,entailment,contradiction,contradiction,contradiction,the woman cannot be sitting on a table and eating lunch simultaneously,a man and a woman are reading books in lawn chairs,the family cannot be skiing and standing on the beach simultaneously,the people cannot be sitting inside and walking down the street at the same time,the men cannot simultaneously run and be standing,she could not be in front of a fire because there would not be a fire in the park,you can see a man and a woman sitting in lawn chairs reading books,people on a beach cannot be skiing,outside is inherently not inside,stairs is contradictory to field,entailment,contradiction,entailment,entailment,entailment,neutral,neutral,neutral,neutral,neutral,86120682.jpg%234r1c.jpg,2518853257.jpg%232r1n.jpg,4365035558.jpg%230r1c.jpg,2202059975.jpg%231r1c.jpg,2536957963.jpg%233r1c.jpg
20,9200,5341,13702,8814,6419,1235455146.jpg#0r1c,129662899.jpg#2r1e,2905200744.jpg#2r1n,4071750215.jpg#1r1e,2618322793.jpg#4r1c,The family is dead.,man in jumpsuit,There is water nearby.,A child is playing outside.,the boy is standing still,contradiction,entailment,entailment,entailment,contradiction,contradiction,entailment,entailment,entailment,contradiction,the family cannot be dead if they are enjoying the beach,a man in a jumpsuit is the same as a man in a jumpsuit,"if there is an ocean, there is water nearby",a child is playing outside in a pile of leaves,the boy cannot be sitting and standing still simultaneously,a family picnicking cannot be said dead,man in jumpsuit is the same as man in jumpsuit,"yes,there is water nearby",a little girl is a child and she is playing with some leaves so she is outside,swings implies motion so the boy cannot be standing still,entailment,contradiction,contradiction,contradiction,entailment,neutral,neutral,neutral,neutral,neutral,1235455146.jpg%230r1c.jpg,129662899.jpg%232r1e.jpg,2905200744.jpg%232r1n.jpg,4071750215.jpg%231r1e.jpg,2618322793.jpg%234r1c.jpg
25,13942,5390,14448,11027,13690,2612125121.jpg#0r1n,821599220.jpg#1r1e,3745405944.jpg#1r1n,3416339125.jpg#1r1n,177591612.jpg#0r1n,A man is drawing his family at the beach.,The hikers are at a very high altitude.,The man is drinking a soda.,A father and son are drinking beer together.,Two good-looking young guys are posing for a picture with a brand new football.,neutral,entailment,neutral,neutral,neutral,neutral,entailment,neutral,neutral,neutral,a man drawing a picture of a family does not imply that he is drawing his family at the beach,a mountain is a very high altitude,"a man can drink anything, not just soda",just because two men are sitting at a table drinking beer doesn't mean they are father and son,not all young guys are good looking,a man is drawing while a group of people are about him and the umbrella in the picture as well as the skyline and trees could be located at a beach,"a male and female hiker means they are both hikers. when one peers out over the mountains, one is at a very high altitude","the man is drinking something, but it is unclear if it is a soda","two men are drinking beer together, but we do not know if they are father and son","they look like they might be posing for a picture, but the football is seems like it could be out-of-reach for them and not be detrimental for their picture",entailment,contradiction,entailment,entailment,entailment,contradiction,neutral,contradiction,contradiction,contradiction,2612125121.jpg%230r1n.jpg,821599220.jpg%231r1e.jpg,3745405944.jpg%231r1n.jpg,3416339125.jpg%231r1n.jpg,177591612.jpg%230r1n.jpg
30,1171,13605,13775,8747,14287,1303727066.jpg#4r1c,2735558076.jpg#0r1n,392467282.jpg#2r1n,3518443604.jpg#1r1c,3494151850.jpg#2r1n,"Man in business attire, in a meeting.",A young boy sits on the ground in a family picture.,The dogs are playing in the snow.,The people are laughing and joking around.,The men are on their way to a rescue.,contradiction,neutral,neutral,contradiction,neutral,contradiction,neutral,neutral,contradiction,neutral,a man cannot be in a meeting and in a crowded area at the same time,a young boy sitting on the ground is not assumed to be in a family picture,just because the dogs are playing in the snow doesn't mean they are playing in the snow,the people cannot be laughing and joking around while they are sitting on the steps,you can not infer they are on their way to a rescue,wearing a peace sign is different than business attire,yes there is a young boy clearly sitting on the ground. no evidence of any family members or family photo,the dogs are in the snow but there is not enough evidence to show that they are playing,the people are unlikely to be laughing and joking at the same time as cowering in a doorway,though the men are on their way but we cant conclude that they are on their way to rescue,entailment,entailment,entailment,entailment,entailment,neutral,contradiction,contradiction,neutral,contradiction,1303727066.jpg%234r1c.jpg,2735558076.jpg%230r1n.jpg,392467282.jpg%232r1n.jpg,3518443604.jpg%231r1c.jpg,3494151850.jpg%232r1n.jpg
35,7871,3769,5626,11526,5373,3081330705.jpg#0r3e,6225843702.jpg#2r1c,2319389144.jpg#1r1c,137444466.jpg#4r1n,3000017878.jpg#4r1e,There is a man outdoors.,the man has no limbs,The picture is taken on the national highway.,They are at the market.,The band is playing music.,entailment,contradiction,contradiction,neutral,entailment,entailment,contradiction,contradiction,neutral,entailment,"a man is standing on a rock overlooking a lake and mountains, which are outdoors",the man cannot be riding a bike if he has no limbs,the picture is either taken on the national highway or on the street,people can be at a street without being at a market,a band is playing music on stage,mountains are considered to be outdoors,a man with no limbs can't possibly maneuver his bike,a street is not the same as a highway,the picture shows a lot of people in a picture. it is unclear if they are at a market or where they are exactly,band is playing on a stage is same as band is playing music,contradiction,entailment,entailment,entailment,contradiction,neutral,neutral,neutral,contradiction,neutral,3081330705.jpg%230r3e.jpg,6225843702.jpg%232r1c.jpg,2319389144.jpg%231r1c.jpg,137444466.jpg%234r1n.jpg,3000017878.jpg%234r1e.jpg
40,81,13634,5221,5898,6118,3518443604.jpg#0r1e,3731739486.jpg#4r1n,2219805467.jpg#2r1c,7430272380.jpg#4r1c,1423997242.jpg#3r1c,There are two people,The people are going home from work.,The dog has a bone in its mouth.,A woman is washing the dishes in the kitchen sink.,Nobody is relaxing.,entailment,neutral,contradiction,contradiction,contradiction,entailment,neutral,contradiction,contradiction,contradiction,two people are sitting on the steps,people can get off a school bus without going home from work,the dog cannot simultaneously have a ball and a bone in its mouth,a man is not a woman,a man is not nobody,answer: shielding their faces implies that there are two people,the people getting on the bus could be going home from work or going on a trip,a tennis ball is different then a bone,one cannot be man and woman simultaneously,nobody is zero person whereas a man counts to one,contradiction,entailment,entailment,entailment,entailment,neutral,contradiction,neutral,neutral,neutral,3518443604.jpg%230r1e.jpg,3731739486.jpg%234r1n.jpg,2219805467.jpg%232r1c.jpg,7430272380.jpg%234r1c.jpg,1423997242.jpg%233r1c.jpg
45,7537,11188,12414,7338,336,637245791.jpg#0r1c,965444691.jpg#1r1n,7081584189.jpg#0r4n,1285874746.jpg#3r5e,3355683198.jpg#2r1e,The boy is sitting in a chair.,The baby is the man's daughter.,Tall people in a kayak,A crowd of people.,a boy does a trick on a skateboard,contradiction,neutral,neutral,entailment,entailment,contradiction,neutral,neutral,entailment,entailment,the boy cannot be sitting on the floor and sitting in a chair simultaneously,a baby can be a boy or a girl and not be the man's daughter,not all kayakers are tall,a crowd of people is a crowd of people,a boy is doing a trick on a skateboard,chair and floor are different things,"while there is a baby being held by a man, there is no evidence that the baby is the daughter of the man",the height of the people is unknown therefore they might not be tall,a woman is part of a crowd,if a boy does a trick on a skateboard he must first be riding a skateboard,entailment,entailment,entailment,contradiction,contradiction,neutral,contradiction,contradiction,neutral,neutral,637245791.jpg%230r1c.jpg,965444691.jpg%231r1n.jpg,7081584189.jpg%230r4n.jpg,1285874746.jpg%233r5e.jpg,3355683198.jpg%232r1e.jpg
