index,index_0,index_1,index_2,index_3,index_4,id_0,id_1,id_2,id_3,id_4,question_0,question_1,question_2,question_3,question_4,answer_0,answer_1,answer_2,answer_3,answer_4,output_answer_0,output_answer_1,output_answer_2,output_answer_3,output_answer_4,output_explanation_0,output_explanation_1,output_explanation_2,output_explanation_3,output_explanation_4,explanation_0,explanation_1,explanation_2,explanation_3,explanation_4,other_answer1_0,other_answer1_1,other_answer1_2,other_answer1_3,other_answer1_4,other_answer2_0,other_answer2_1,other_answer2_2,other_answer2_3,other_answer2_4,img_name_0,img_name_1,img_name_2,img_name_3,img_name_4
0,1302,1964,1531,129,1463,83277003,392878004,361913001,530854003,487990002,What is the man doing?,Is this a beach scene?,What sport is being played?,Is it raining?,Is this a birthday party?,skateboarding,no,baseball,yes,yes,skateboarding,no,baseball,yes,yes,he is doing a trick on a skateboard,there are people eating at picnic tables outside,there are players on a baseball field and one is holding a baseball bat,there are rain drops on umbrellas,there is a birthday cake on the table,he is flipping a skateboard,the family is gathered in a field,they are playing on a baseball diamond with a ball and bat,there is water on the umbrellas,there is a birthday cake with candles,glasses,dining room,eating,classroom,red bull,couch,breakfast,christmas,giraffe,veggie,83277003.jpg,392878004.jpg,361913001.jpg,530854003.jpg,487990002.jpg
5,656,1117,1083,703,807,562818000,70434001,67491001,434673001,440575001,What are the people doing?,What type of room is this?,Is this a military plane?,What sport is this?,Is the plane landing?,skiing,bathroom,no,tennis,no,skiing,bathroom,no,tennis,no,they are on a snowy mountain,there is a shower and a sink,it has cartoon characters on it,the player is holding a tennis racket,the nose of the plane is pointed upward,they are riding on top of snow on small boards,"there is a shower, mirror, toilet, and sink in the room",it is brightly painted with cartoon characters,the man is on a tennis court holding a tennis racket,it is taking off from an airport,nose,sitting,elephants,motorcycle,pancakes,fall,dinner,electric,veggie,rainy,562818000.jpg,70434001.jpg,67491001.jpg,434673001.jpg,440575001.jpg
10,1457,576,1608,496,626,94168002,296404007,367622000,553588000,167920001,Is this a passenger train?,Is it cloudy?,What is the man doing?,Is the sky clear?,What is the man doing?,no,no,surfing,yes,skateboarding,no,no,surfing,yes,skateboarding,the cars are not passenger cars,the sky is blue and there are no clouds,he is riding a wave on a surfboard,there are no clouds in the sky,he is doing a trick on a skateboard,this train is full of freight cars,the sky is only one solid blue color,he is riding on a surfboard on the water,behind the building the sky is blue,the man is doing a trick on top of a skateboard,cake,norwood,red bull,chocolate,grocery,surfboard,playing tennis,mets,bench,veggie,94168002.jpg,296404007.jpg,367622000.jpg,553588000.jpg,167920001.jpg
15,509,853,589,1921,67,554523027,50025002,428305002,479953004,265971001,Which room is this?,What are the little boys doing?,What room is this?,What sport is being played?,What sport are they playing?,kitchen,reading,bathroom,soccer,tennis,kitchen,reading,bathroom,soccer,tennis,there is a refrigerator in the room,they are looking at a book,there is a sink and a shower,the player is kicking a soccer ball,the man is swinging a tennis racket on a tennis court,there is a refrigerator and stove with a pot,they are looking at two books,it has a toilet in it,a woman wear soccer cleats is chasing a soccer ball,there is an athlete with a racket,helmet,razorbacks,car,dining room,painting,bat,birthday,red bull,younger,beer,554523027.jpg,50025002.jpg,428305002.jpg,479953004.jpg,265971001.jpg
20,226,834,363,560,1364,537672004,30044001,545583001,295231001,480470068,What kind of room is this?,Is this plane only for display or can it actually fly?,What is the person doing?,What kind of animals are these?,Is the plane landing?,kitchen,display,skiing,sheep,no,kitchen,display,skiing,sheep,no,there is a refrigerator in it,it is on the ground with a sign,he is on skis in the snow,they have wool and ears like sheep,the nose of the plane is pointed upward,it has a appliance specifically meant for cooling and freezing perishable foods,it has a sign attached to it and is roped off from visitors,they are riding on skies,they are covered in wool,it is high in the sky,fire hydrant,cooking,black and white,wii,airplane,hay,skateboarding,cups,pita,sitting,537672004.jpg,30044001.jpg,545583001.jpg,295231001.jpg,480470068.jpg
25,796,1485,57,1844,717,46859005,489588004,396541006,252659003,566576002,Is this a professional event?,What kind of animal is this?,Is it night time?,What sport is being played?,What kind of place is this?,no,sheep,yes,tennis,bus station,no,sheep,yes,tennis,bus station,the players are playing in a field that is not a stadium,they are grazing on grass and have white fur,the room is dark and the curtain is closed,they are on a grass court with rackets,there is a bus parked in front of a bus stop,the players are too young to play in major leagues,they have been recently sheared,the room is very dark and the curtains are closed,four people are crowded around a net,the sign above the door says bus station,hospital,taking off,cow,0,produce,church,commercial,china,victoria,soccer,46859005.jpg,489588004.jpg,396541006.jpg,252659003.jpg,566576002.jpg
30,1577,597,1023,28,321,365521002,530220001,192838001,525361003,543566000,What sport is this?,Is someone wearing a yellow jacket?,Does the surfer have on a wetsuit?,Is this a passenger train?,What is the cat doing?,skateboarding,yes,yes,yes,sleeping,skateboarding,yes,yes,yes,sleeping,the man is riding a skateboard down a ramp,the jacket is yellow,the surfer is wearing a black wet suit,the train has many doors and windows,it is laying down with its eyes closed,the man is standing on a piece of wood with no steering wheel on four wheels,there is a bright colored fabric,she is in a skin-tight outfit in the water,"it is all one piece with doors to open and let people in at various places, it has no attached cars for hauling goods",cats must sleep to restore their bodies,seagull,dancing,kite,colgate,taking picture,kitchen,rainy,cooking,bandana,bedroom,365521002.jpg,530220001.jpg,192838001.jpg,525361003.jpg,543566000.jpg
35,766,1849,1925,434,771,204188003,121839001,389738002,287560000,45586002,Is this a new toilet?,What are the kids doing?,What are the people doing?,Which room is this?,What is the cat doing?,yes,skiing,skiing,bathroom,sleeping,yes,skiing,skiing,bathroom,sleeping,it is white and has a sleek modern design,they are wearing skis and helmets,they are on skis and on a snowy hill,there is a toilet and toilet paper,it is laying on a chair,it's on display in a trade show,they are wearing skis in the snow,they are playing in a skiing resort,there is two toilet paper rolls on the wall next to a toilet,its eyes are closed and body is still,bat,flying kite,veggie,packing,hat,double decker,ladybug,coffee,parade,truck,204188003.jpg,121839001.jpg,389738002.jpg,287560000.jpg,45586002.jpg
40,83,350,1678,779,722,135613003,413871002,372731002,45920000,79992005,Is this a hotel?,What kind of animal is this?,What kind of animal is the man standing next too?,What sport is this?,Is this healthy?,yes,bear,horse,baseball,yes,yes,bear,horse,baseball,yes,there are many towels and a large shower,it has claws on its paws and a snout,it has a long mane and tail,the man is wearing a baseball uniform and holding a baseball glove,there are coconuts and bananas,there is a watermark of a rental company in the picture,it has fur and claws,he is next to a stable,he is holding a baseball glove,the foods in the basket don't have many calories,boat,beach,old,bed,lights,birthday,fresh,hay,horses,no,135613003.jpg,413871002.jpg,372731002.jpg,45920000.jpg,79992005.jpg
45,1728,1138,1166,1215,1712,506614001,333998003,466921002,209431000,505814001,What room is this?,Is this a hotel?,What kind of writing is on the wall?,Is this a vegetarian meal?,Does this man have any hair on his head?,bedroom,no,chinese,yes,no,bedroom,no,chinese,yes,no,there is a bed in it,this is a kitchen in a home,it has characters written in chinese characters,there is no meat on the plate,he is bald instead,there is a bed and side tables,it is a kitchen inside a family home,they are asian writing symbols,none of the items on this plate include any meat,he has shaven his head bald,office,heineken,tie,female,cows,sand,hot dog,canopy,birthday,bank of america,506614001.jpg,333998003.jpg,466921002.jpg,209431000.jpg,505814001.jpg
