,assignment_id,img_id,answer_correct,explanation_ours,expl_score_ours,confusing_ours,incorrect_ours,insufficient_ours,explanation_gt,expl_score_gt,confusing_gt,incorrect_gt,insufficient_gt,prefer_ours,prefer_gt,prefer_none
selected,3IOEN3P9S8VQS38GRUVRY4SL9D3167,160541986.jpg#3r1e,True,a pearl necklace is a type of jewelry,1,False,False,False,"when a girl is decked out with jewelry, she is wearing the jewelry",0.6666666666666666,False,False,False,True,False,False
selected,3IOEN3P9S8VQS38GRUVRY4SL9D3167,177591612.jpg#1r4c,True,the men cannot be doing a handstand and lying in bunk beds simultaneously,1,False,False,False,upside down is different than sleeping,0.6666666666666666,False,False,False,True,False,False
selected,3IOEN3P9S8VQS38GRUVRY4SL9D3167,2384401298.jpg#1r1c,True,the dogs cannot be walking and drowned at the same time,1,False,False,False,a dog and puppies are not the same,0.3333333333333333,False,False,False,True,False,False
selected,3IOEN3P9S8VQS38GRUVRY4SL9D3167,4967261262.jpg#1r1e,True,the people are having fun because they are performing a routine,1,False,False,False,there are three girls having fun together,0.6666666666666666,False,False,False,True,False,False
selected,3IOEN3P9S8VQS38GRUVRY4SL9D3167,5489602545.jpg#3r1e,True,a person is someone,0.6666666666666666,False,False,False,a shopkeeper is someone,0.6666666666666666,False,False,False,False,False,True
selected,3SITXWYCNWL4OGA4UEX64TIESQXXBE,160541986.jpg#3r1e,True,a pearl necklace is a type of jewelry,1,False,False,False,"when a girl is decked out with jewelry, she is wearing the jewelry",0.6666666666666666,False,False,False,True,False,False
selected,3SITXWYCNWL4OGA4UEX64TIESQXXBE,177591612.jpg#1r4c,True,the men cannot be doing a handstand and lying in bunk beds simultaneously,1,False,False,False,upside down is different than sleeping,0.6666666666666666,False,False,False,True,False,False
selected,3SITXWYCNWL4OGA4UEX64TIESQXXBE,2384401298.jpg#1r1c,True,the dogs cannot be walking and drowned at the same time,1,False,False,False,a dog and puppies are not the same,0.0,False,False,False,True,False,False
selected,3SITXWYCNWL4OGA4UEX64TIESQXXBE,4967261262.jpg#1r1e,True,the people are having fun because they are performing a routine,0.6666666666666666,False,False,True,there are three girls having fun together,0.6666666666666666,False,False,True,True,False,False
selected,3SITXWYCNWL4OGA4UEX64TIESQXXBE,5489602545.jpg#3r1e,True,a person is someone,0.6666666666666666,False,False,True,a shopkeeper is someone,0.6666666666666666,False,False,True,False,False,True
selected,3R0T90IZ1TOCCZ7KJ4TXRRO17M9CGI,160541986.jpg#3r1e,True,a pearl necklace is a type of jewelry,1,False,False,False,"when a girl is decked out with jewelry, she is wearing the jewelry",1.0,False,False,False,False,False,False
selected,3R0T90IZ1TOCCZ7KJ4TXRRO17M9CGI,4967261262.jpg#1r1e,True,the people are having fun because they are performing a routine,1,False,False,False,there are three girls having fun together,1.0,False,False,False,False,True,False
selected,3R0T90IZ1TOCCZ7KJ4TXRRO17M9CGI,5489602545.jpg#3r1e,True,a person is someone,1,False,False,False,a shopkeeper is someone,1.0,False,False,False,False,True,False
selected,32Z9ZLUT1MWRLKZYTFK67RUJB0MHO0,160541986.jpg#3r1e,True,a pearl necklace is a type of jewelry,1,False,False,False,"when a girl is decked out with jewelry, she is wearing the jewelry",1.0,False,False,False,True,False,False
selected,32Z9ZLUT1MWRLKZYTFK67RUJB0MHO0,177591612.jpg#1r4c,True,the men cannot be doing a handstand and lying in bunk beds simultaneously,1,False,False,False,upside down is different than sleeping,1.0,False,False,False,True,False,False
selected,32Z9ZLUT1MWRLKZYTFK67RUJB0MHO0,2384401298.jpg#1r1c,True,the dogs cannot be walking and drowned at the same time,1,False,False,False,a dog and puppies are not the same,0.6666666666666666,False,False,False,True,False,False
selected,32Z9ZLUT1MWRLKZYTFK67RUJB0MHO0,4967261262.jpg#1r1e,True,the people are having fun because they are performing a routine,1,False,False,False,there are three girls having fun together,0.6666666666666666,False,False,False,True,False,False
selected,32Z9ZLUT1MWRLKZYTFK67RUJB0MHO0,5489602545.jpg#3r1e,True,a person is someone,0.6666666666666666,True,False,False,a shopkeeper is someone,0.6666666666666666,True,False,False,True,False,False
selected,3TR2532VIQ6XNKOKHJ1X24O73SVJ6H,160541986.jpg#3r1e,True,a pearl necklace is a type of jewelry,1,False,False,False,"when a girl is decked out with jewelry, she is wearing the jewelry",1.0,False,False,False,True,False,False
selected,3TR2532VIQ6XNKOKHJ1X24O73SVJ6H,177591612.jpg#1r4c,True,the men cannot be doing a handstand and lying in bunk beds simultaneously,1,False,False,False,upside down is different than sleeping,1.0,False,False,False,False,True,False
selected,3TR2532VIQ6XNKOKHJ1X24O73SVJ6H,4967261262.jpg#1r1e,True,the people are having fun because they are performing a routine,1,False,False,False,there are three girls having fun together,1.0,False,False,False,False,True,False
selected,3TR2532VIQ6XNKOKHJ1X24O73SVJ6H,5489602545.jpg#3r1e,True,a person is someone,1,False,False,False,a shopkeeper is someone,1.0,False,False,False,False,True,False
selected,3ATTHHXXWB0EBOOA0OPNQGMRNKJXIX,3415178926.jpg#4r1n,True,the man could have been playing with the dog instead of trying to get it to play catch,1,False,False,False,the man is trying to get a stick away from the dog. it is unknown whether or not he is playing catch,1.0,False,False,False,False,False,True
