,assignment_id,img_id,answer_correct,explanation_ours,expl_score_ours,confusing_ours,incorrect_ours,insufficient_ours,explanation_gt,expl_score_gt,confusing_gt,incorrect_gt,insufficient_gt,expl_value_our,expl_value_gt,prefer_ours,prefer_gt,prefer_none
selected,3C44YUNSI21SU46XMJEV56KBU1MDPE,val-138,True,person8 is standing in a line at a telephone booth,1,False,False,False,This could be a telegram office since it's in the forties or fifties,1,False,False,False,yes,yes,True,False,False
selected,3C44YUNSI21SU46XMJEV56KBU1MDPE,val-211,True,They are walking together and are walking very close to each other,1,False,False,False,person4 and person5 appear to be walking next to each other and talking,1,False,False,False,yes,yes,False,False,True
selected,3C44YUNSI21SU46XMJEV56KBU1MDPE,val-306,True,person0 has her mouth open and her eyes are squinted,0.3333333333333333,False,False,True,She is frowning and looking sown,0.6666666666666666,False,False,True,weak_no,weak_yes,False,True,False
selected,3C44YUNSI21SU46XMJEV56KBU1MDPE,val-371,True,person1 is sitting in an empty theater,0.3333333333333333,False,False,True,person1 is sitting in a seat in a theater so he is most likely watching a movie,1,False,False,True,weak_no,yes,False,True,False
selected,32Q90QCQ1TXWBJNH5MK7F7GX039KE5,val-138,True,person8 is standing in a line at a telephone booth,1,False,False,False,This could be a telegram office since it's in the forties or fifties,1,False,False,False,yes,yes,True,False,False
selected,32Q90QCQ1TXWBJNH5MK7F7GX039KE5,val-264,True,person7 is standing behind person0 and is not paying attention to person0,0,False,True,False,person7 is far away from person0 and looking in the opposite direction,1,False,True,False,no,yes,False,True,False
selected,32Q90QCQ1TXWBJNH5MK7F7GX039KE5,val-371,True,person1 is sitting in an empty theater,0,False,True,False,person1 is sitting in a seat in a theater so he is most likely watching a movie,1,False,True,False,no,yes,False,True,False
selected,3QL2OFSM97UIMRO6686SHBXY9NJCNT,val-138,True,person8 is standing in a line at a telephone booth,0.6666666666666666,False,True,True,This could be a telegram office since it's in the forties or fifties,1,False,True,True,weak_yes,yes,False,True,False
selected,3QL2OFSM97UIMRO6686SHBXY9NJCNT,val-211,True,They are walking together and are walking very close to each other,0.3333333333333333,True,False,True,person4 and person5 appear to be walking next to each other and talking,0.6666666666666666,True,False,True,weak_no,weak_yes,False,True,False
selected,3QL2OFSM97UIMRO6686SHBXY9NJCNT,val-264,True,person7 is standing behind person0 and is not paying attention to person0,0,True,True,True,person7 is far away from person0 and looking in the opposite direction,1,True,True,True,no,yes,False,True,False
selected,3QL2OFSM97UIMRO6686SHBXY9NJCNT,val-371,True,person1 is sitting in an empty theater,1,False,False,False,person1 is sitting in a seat in a theater so he is most likely watching a movie,1,False,False,False,yes,yes,False,True,False
selected,3KRVW3HTZOXSBQS2RTHSJ1CGQZGMSG,val-138,True,person8 is standing in a line at a telephone booth,1,False,False,False,This could be a telegram office since it's in the forties or fifties,1,False,False,False,yes,yes,False,True,False
selected,3KRVW3HTZOXSBQS2RTHSJ1CGQZGMSG,val-211,True,They are walking together and are walking very close to each other,1,False,False,False,person4 and person5 appear to be walking next to each other and talking,1,False,False,False,yes,yes,False,True,False
