,assignment_id,img_id,answer_correct,explanation_ours,expl_score_ours,confusing_ours,incorrect_ours,insufficient_ours,explanation_gt,expl_score_gt,confusing_gt,incorrect_gt,insufficient_gt,expl_value_our,expl_value_gt,prefer_ours,prefer_gt,prefer_none
selected,32SCWG5HIIGT9VRICW6HZ0AJCUY6P7,val-8025,True,He is wearing a white shirt and apron and is walking towards the table,1,True,False,True,He is in a uniform and heading to a table,1,True,False,True,yes,yes,False,True,False
selected,32SCWG5HIIGT9VRICW6HZ0AJCUY6P7,val-8801,True,person3 is running away from a large open door,0,False,False,True,"Everyone behind person3 is dressed for cold weather, person3 is not",0.6666666666666666,False,False,True,no,weak_yes,True,False,False
selected,32SCWG5HIIGT9VRICW6HZ0AJCUY6P7,val-18513,True,They are reaching for a bottle of pills,1,True,False,False,They are touching a stereo,1,True,False,False,yes,yes,False,False,True
selected,32SCWG5HIIGT9VRICW6HZ0AJCUY6P7,val-21108,True,person1 is wearing a very different style of clothing than the others and is standing behind a bar,1,False,False,True,person1 is the only black person in the bar and others seem upset which could indicate some racial animus,1,False,False,True,yes,yes,False,False,True
selected,32SCWG5HIIGT9VRICW6HZ0AJCUY6P7,val-16101,True,He is wearing a military uniform,1,True,False,False,He has a gun on his back and bullets strapped to his vest,0.6666666666666666,True,False,False,yes,weak_yes,True,False,False
selected,386CSBG1O0YE97SXC9L6Z50THQK6QY,val-8025,True,He is wearing a white shirt and apron and is walking towards the table,1,False,False,False,He is in a uniform and heading to a table,1,False,False,False,yes,yes,False,False,True
selected,386CSBG1O0YE97SXC9L6Z50THQK6QY,val-8801,True,person3 is running away from a large open door,1,False,False,False,"Everyone behind person3 is dressed for cold weather, person3 is not",0.3333333333333333,False,False,False,yes,weak_no,True,False,False
selected,386CSBG1O0YE97SXC9L6Z50THQK6QY,val-18513,True,They are reaching for a bottle of pills,0,False,True,False,They are touching a stereo,1,False,True,False,no,yes,False,True,False
selected,386CSBG1O0YE97SXC9L6Z50THQK6QY,val-21108,False,person1 is wearing a very different style of clothing than the others and is standing behind a bar,0.3333333333333333,False,True,False,person1 is the only black person in the bar and others seem upset which could indicate some racial animus,0.6666666666666666,False,True,False,weak_no,weak_yes,False,True,False
selected,386CSBG1O0YE97SXC9L6Z50THQK6QY,val-16101,True,He is wearing a military uniform,1,False,False,False,He has a gun on his back and bullets strapped to his vest,1,False,False,False,yes,yes,False,False,True
selected,3KWTYT0871F7Z6C6FL35QDNZBQV5L3,val-8025,True,He is wearing a white shirt and apron and is walking towards the table,1,False,False,False,He is in a uniform and heading to a table,1,False,False,False,yes,yes,True,False,False
selected,3KWTYT0871F7Z6C6FL35QDNZBQV5L3,val-8801,True,person3 is running away from a large open door,1,False,False,False,"Everyone behind person3 is dressed for cold weather, person3 is not",1,False,False,False,yes,yes,True,False,False
selected,3KWTYT0871F7Z6C6FL35QDNZBQV5L3,val-18513,True,They are reaching for a bottle of pills,0,False,True,False,They are touching a stereo,1,False,True,False,no,yes,False,True,False
selected,3KWTYT0871F7Z6C6FL35QDNZBQV5L3,val-21108,False,person1 is wearing a very different style of clothing than the others and is standing behind a bar,0,False,False,True,person1 is the only black person in the bar and others seem upset which could indicate some racial animus,0,False,False,True,no,no,False,False,False
selected,3KWTYT0871F7Z6C6FL35QDNZBQV5L3,val-16101,True,He is wearing a military uniform,0.6666666666666666,False,True,False,He has a gun on his back and bullets strapped to his vest,1,False,True,False,weak_yes,yes,False,True,False
selected,3P529IW9KZXZ135VLXGECPEC0D1LFG,val-8025,True,He is wearing a white shirt and apron and is walking towards the table,1,False,False,False,He is in a uniform and heading to a table,1,False,False,False,yes,yes,True,False,False
selected,3P529IW9KZXZ135VLXGECPEC0D1LFG,val-8801,True,person3 is running away from a large open door,1,False,False,False,"Everyone behind person3 is dressed for cold weather, person3 is not",1,False,False,False,yes,yes,True,False,False
selected,3P529IW9KZXZ135VLXGECPEC0D1LFG,val-18513,True,They are reaching for a bottle of pills,0,False,True,True,They are touching a stereo,1,False,True,True,no,yes,False,True,False
selected,3P529IW9KZXZ135VLXGECPEC0D1LFG,val-21108,False,person1 is wearing a very different style of clothing than the others and is standing behind a bar,0.6666666666666666,False,False,False,person1 is the only black person in the bar and others seem upset which could indicate some racial animus,0.3333333333333333,False,False,False,weak_yes,weak_no,False,False,True
selected,3P529IW9KZXZ135VLXGECPEC0D1LFG,val-16101,True,He is wearing a military uniform,0.6666666666666666,False,False,False,He has a gun on his back and bullets strapped to his vest,0.6666666666666666,False,False,False,weak_yes,weak_yes,False,True,False
selected,3QAVNHZ3ENG45CONAHUMYO3L3Y3LAK,val-8025,True,He is wearing a white shirt and apron and is walking towards the table,1,False,False,False,He is in a uniform and heading to a table,1,False,False,False,yes,yes,True,False,False
selected,3QAVNHZ3ENG45CONAHUMYO3L3Y3LAK,val-8801,True,person3 is running away from a large open door,1,False,False,False,"Everyone behind person3 is dressed for cold weather, person3 is not",0,False,False,False,yes,no,True,False,False
selected,3QAVNHZ3ENG45CONAHUMYO3L3Y3LAK,val-18513,True,They are reaching for a bottle of pills,0,False,True,False,They are touching a stereo,1,False,True,False,no,yes,False,True,False
selected,3QAVNHZ3ENG45CONAHUMYO3L3Y3LAK,val-21108,False,person1 is wearing a very different style of clothing than the others and is standing behind a bar,0,False,False,True,person1 is the only black person in the bar and others seem upset which could indicate some racial animus,0,False,False,True,no,no,False,False,True
selected,3QAVNHZ3ENG45CONAHUMYO3L3Y3LAK,val-16101,True,He is wearing a military uniform,1,False,False,False,He has a gun on his back and bullets strapped to his vest,1,False,False,False,yes,yes,False,True,False
selected,3WRFBPLXRB0U9RSNDFVRO8T42OL3NS,val-1974,False,He is wearing a backpack and walking down the stairs towards the front door,1,False,False,False,He is walking toward an apartment door,0.6666666666666666,False,False,False,yes,weak_yes,True,False,False
selected,3WRFBPLXRB0U9RSNDFVRO8T42OL3NS,val-10700,True,There are several bottles of alcohol on the table and person0 is looking at person1 with a disgusted look on his face,0,True,False,True,They faces of person1 and person3 are scrunched up as if they are angry,0.3333333333333333,True,False,True,no,weak_no,False,False,True
selected,3WRFBPLXRB0U9RSNDFVRO8T42OL3NS,val-19851,True,person1 and person4 are holding each other and are moving their bodies,1,False,False,False,person1 and person4 are standing close together with their hands on each other as their feet are moving around,1,False,False,False,yes,yes,True,False,False
selected,3WRFBPLXRB0U9RSNDFVRO8T42OL3NS,val-15374,True,He is in a classroom and is writing on a paper,1,False,False,False,He is in a classroom and students take notes during class,0.6666666666666666,False,False,False,yes,weak_yes,True,False,False
selected,3WRFBPLXRB0U9RSNDFVRO8T42OL3NS,val-24536,True,He is holding a paper in his hand and is looking at it,1,False,False,False,"The safe is open and he is reading the paper, so he does not know what it is",0,False,False,False,yes,no,True,False,False
selected,386PBUZZXG9F65RR4N7ZRN64TK9LJA,val-1974,True,He is wearing a backpack and walking down the stairs towards the front door,0,False,True,False,He is walking toward an apartment door,1,False,True,False,no,yes,False,True,False
selected,386PBUZZXG9F65RR4N7ZRN64TK9LJA,val-10700,True,There are several bottles of alcohol on the table and person0 is looking at person1 with a disgusted look on his face,0.6666666666666666,False,False,True,They faces of person1 and person3 are scrunched up as if they are angry,1,False,False,True,weak_yes,yes,False,True,False
selected,386PBUZZXG9F65RR4N7ZRN64TK9LJA,val-19851,True,person1 and person4 are holding each other and are moving their bodies,1,False,False,False,person1 and person4 are standing close together with their hands on each other as their feet are moving around,1,False,False,False,yes,yes,False,True,False
selected,386PBUZZXG9F65RR4N7ZRN64TK9LJA,val-15374,True,He is in a classroom and is writing on a paper,1,False,False,False,He is in a classroom and students take notes during class,1,False,False,False,yes,yes,False,False,True
