,assignment_id,img_id,answer_correct,explanation_ours,expl_score_ours,confusing_ours,incorrect_ours,insufficient_ours,explanation_gt,expl_score_gt,confusing_gt,incorrect_gt,insufficient_gt,expl_value_our,expl_value_gt,prefer_ours,prefer_gt,prefer_none
selected,3LEIZ60CDKBA5IVMXC7VA83ZCUPZ98,83277003,True,he is doing a trick on a skateboard,1,False,False,False,he is flipping a skateboard,1,False,False,False,yes,yes,False,True,False
selected,3LEIZ60CDKBA5IVMXC7VA83ZCUPZ98,392878004,True,there are people eating at picnic tables outside,0.6666666666666666,False,False,True,the family is gathered in a field,1,False,False,True,weak_yes,yes,False,True,False
selected,3LEIZ60CDKBA5IVMXC7VA83ZCUPZ98,361913001,True,there are players on a baseball field and one is holding a baseball bat,1,False,False,False,they are playing on a baseball diamond with a ball and bat,1,False,False,False,yes,yes,False,False,True
selected,3LEIZ60CDKBA5IVMXC7VA83ZCUPZ98,530854003,True,there are rain drops on umbrellas,1,False,False,False,there is water on the umbrellas,1,False,False,False,yes,yes,False,False,True
selected,3LEIZ60CDKBA5IVMXC7VA83ZCUPZ98,487990002,True,there is a birthday cake on the table,1,False,False,False,there is a birthday cake with candles,1,False,False,False,yes,yes,False,False,True
selected,3VA45EW49OZGH9EKRQHLF4ECU9KO1Y,83277003,True,he is doing a trick on a skateboard,1,False,False,False,he is flipping a skateboard,1,False,False,False,yes,yes,True,False,False
selected,3VA45EW49OZGH9EKRQHLF4ECU9KO1Y,392878004,True,there are people eating at picnic tables outside,0.3333333333333333,False,False,True,the family is gathered in a field,0.6666666666666666,False,False,True,weak_no,weak_yes,False,True,False
selected,3VA45EW49OZGH9EKRQHLF4ECU9KO1Y,361913001,True,there are players on a baseball field and one is holding a baseball bat,1,False,False,False,they are playing on a baseball diamond with a ball and bat,1,False,False,False,yes,yes,False,False,True
selected,3VA45EW49OZGH9EKRQHLF4ECU9KO1Y,530854003,True,there are rain drops on umbrellas,0.6666666666666666,False,False,True,there is water on the umbrellas,0.6666666666666666,False,False,True,weak_yes,weak_yes,False,False,True
selected,3VA45EW49OZGH9EKRQHLF4ECU9KO1Y,487990002,True,there is a birthday cake on the table,1,False,False,False,there is a birthday cake with candles,1,False,False,False,yes,yes,False,True,False
selected,3J88R45B2HA6SABEDJF7ZDN39XMPX7,83277003,True,he is doing a trick on a skateboard,1,False,False,False,he is flipping a skateboard,0,False,False,False,yes,no,True,False,False
selected,3J88R45B2HA6SABEDJF7ZDN39XMPX7,392878004,True,there are people eating at picnic tables outside,1,False,False,False,the family is gathered in a field,1,False,False,False,yes,yes,False,True,False
selected,3J88R45B2HA6SABEDJF7ZDN39XMPX7,361913001,True,there are players on a baseball field and one is holding a baseball bat,1,False,False,False,they are playing on a baseball diamond with a ball and bat,1,False,False,False,yes,yes,True,False,False
selected,3J88R45B2HA6SABEDJF7ZDN39XMPX7,530854003,True,there are rain drops on umbrellas,1,False,False,False,there is water on the umbrellas,1,False,False,False,yes,yes,True,False,False
selected,3J88R45B2HA6SABEDJF7ZDN39XMPX7,487990002,True,there is a birthday cake on the table,1,False,False,False,there is a birthday cake with candles,1,False,False,False,yes,yes,False,True,False
selected,3A4TN5196LUQCV2V3ABFCR02MMMHCM,83277003,True,he is doing a trick on a skateboard,1,False,False,False,he is flipping a skateboard,1,False,False,False,yes,yes,False,False,True
selected,3A4TN5196LUQCV2V3ABFCR02MMMHCM,392878004,True,there are people eating at picnic tables outside,1,False,False,False,the family is gathered in a field,1,False,False,False,yes,yes,False,False,True
selected,3A4TN5196LUQCV2V3ABFCR02MMMHCM,361913001,True,there are players on a baseball field and one is holding a baseball bat,1,False,False,False,they are playing on a baseball diamond with a ball and bat,1,False,False,False,yes,yes,False,False,True
selected,3A4TN5196LUQCV2V3ABFCR02MMMHCM,530854003,True,there are rain drops on umbrellas,1,False,False,False,there is water on the umbrellas,1,False,False,False,yes,yes,False,False,True
selected,3A4TN5196LUQCV2V3ABFCR02MMMHCM,487990002,True,there is a birthday cake on the table,1,False,False,False,there is a birthday cake with candles,1,False,False,False,yes,yes,False,False,True
selected,3DY46V3X3QUTXH9LNYNY9OR2PZY55G,83277003,True,he is doing a trick on a skateboard,1,False,False,False,he is flipping a skateboard,1,False,False,False,yes,yes,True,False,False
selected,3DY46V3X3QUTXH9LNYNY9OR2PZY55G,392878004,True,there are people eating at picnic tables outside,1,False,False,False,the family is gathered in a field,1,False,False,False,yes,yes,True,False,False
selected,3DY46V3X3QUTXH9LNYNY9OR2PZY55G,361913001,True,there are players on a baseball field and one is holding a baseball bat,1,False,False,False,they are playing on a baseball diamond with a ball and bat,1,False,False,False,yes,yes,True,False,False
selected,3DY46V3X3QUTXH9LNYNY9OR2PZY55G,530854003,True,there are rain drops on umbrellas,1,False,False,False,there is water on the umbrellas,1,False,False,False,yes,yes,True,False,False
selected,3DY46V3X3QUTXH9LNYNY9OR2PZY55G,487990002,True,there is a birthday cake on the table,1,False,False,False,there is a birthday cake with candles,1,False,False,False,yes,yes,True,False,False
selected,317HQ483I849ZUA6YI2ESEVTL6DNI7,562818000,True,they are on a snowy mountain,0.6666666666666666,False,False,True,they are riding on top of snow on small boards,1,False,False,True,weak_yes,yes,False,True,False
selected,317HQ483I849ZUA6YI2ESEVTL6DNI7,70434001,True,there is a shower and a sink,1,False,False,True,"there is a shower, mirror, toilet, and sink in the room",1,False,False,True,yes,yes,False,True,False
selected,317HQ483I849ZUA6YI2ESEVTL6DNI7,67491001,True,it has cartoon characters on it,1,False,False,False,it is brightly painted with cartoon characters,1,False,False,False,yes,yes,False,False,True
selected,317HQ483I849ZUA6YI2ESEVTL6DNI7,434673001,True,the player is holding a tennis racket,1,False,False,False,the man is on a tennis court holding a tennis racket,1,False,False,False,yes,yes,False,True,False
selected,317HQ483I849ZUA6YI2ESEVTL6DNI7,440575001,True,the nose of the plane is pointed upward,1,False,False,False,it is taking off from an airport,1,False,False,False,yes,yes,False,False,True
selected,38BQUHLA9XCDDY09KC0JZW2FSNOOML,562818000,True,they are on a snowy mountain,1,False,False,False,they are riding on top of snow on small boards,1,False,False,False,yes,yes,True,False,False
selected,38BQUHLA9XCDDY09KC0JZW2FSNOOML,70434001,True,there is a shower and a sink,1,False,False,False,"there is a shower, mirror, toilet, and sink in the room",1,False,False,False,yes,yes,True,False,False
selected,38BQUHLA9XCDDY09KC0JZW2FSNOOML,67491001,False,it has cartoon characters on it,1,False,False,False,it is brightly painted with cartoon characters,1,False,False,False,yes,yes,True,False,False
selected,38BQUHLA9XCDDY09KC0JZW2FSNOOML,434673001,True,the player is holding a tennis racket,1,False,False,False,the man is on a tennis court holding a tennis racket,1,False,False,False,yes,yes,True,False,False
