,assignment_id,img_id,answer_correct,explanation_ours,expl_score_ours,confusing_ours,incorrect_ours,insufficient_ours,explanation_gt,expl_score_gt,confusing_gt,incorrect_gt,insufficient_gt,expl_value_our,expl_value_gt,prefer_ours,prefer_gt,prefer_none
selected,31EUONYN2WFW3LUIY41AMSLSK1LOVU,val-23075,True,person6 is a street performer and person2 is a wheelchair user,0.3333333333333333,False,False,True,person2 and person6 appear to be engaged in some sort of stand off and have stern looks on their faces as they face each other,1,False,False,True,weak_no,yes,False,True,False
selected,31EUONYN2WFW3LUIY41AMSLSK1LOVU,val-25979,True,She is holding a plate of food and looking at person6 with a smile on her face,0.0,False,True,False,She is wearing a bridesmaid style dress and person6 is in a mother f the bride style suit,1,False,True,False,no,yes,False,True,False
selected,31EUONYN2WFW3LUIY41AMSLSK1LOVU,val-16318,True,person0 is looking at person1 with a serious expression,1.0,False,False,False,person0 is looking toward person1 and saying something,1,False,False,False,yes,yes,False,False,True
selected,31EUONYN2WFW3LUIY41AMSLSK1LOVU,val-6869,True,person2 is looking at book0 with a look of concentration on her face,0.0,False,True,False,person2 is likely reading book0 and thinking about what she read,1,False,True,False,no,yes,False,True,False
selected,31EUONYN2WFW3LUIY41AMSLSK1LOVU,val-24057,True,person1 is being recorded by a security camera,1.0,False,False,False,person1 is being shown from a security control room,1,False,False,False,yes,yes,False,False,True
selected,3OVHNO1VE7DM88839SCXW4MP40ODZU,val-23075,True,person6 is a street performer and person2 is a wheelchair user,0.0,False,True,False,person2 and person6 appear to be engaged in some sort of stand off and have stern looks on their faces as they face each other,1,False,True,False,no,yes,False,True,False
selected,3OVHNO1VE7DM88839SCXW4MP40ODZU,val-25979,False,She is holding a plate of food and looking at person6 with a smile on her face,0.3333333333333333,False,False,True,She is wearing a bridesmaid style dress and person6 is in a mother f the bride style suit,1,False,False,True,weak_no,yes,False,True,False
selected,3OVHNO1VE7DM88839SCXW4MP40ODZU,val-16318,True,person0 is looking at person1 with a serious expression,1.0,False,False,False,person0 is looking toward person1 and saying something,1,False,False,False,yes,yes,True,False,False
selected,3OVHNO1VE7DM88839SCXW4MP40ODZU,val-6869,False,person2 is looking at book0 with a look of concentration on her face,0.3333333333333333,False,False,False,person2 is likely reading book0 and thinking about what she read,0.3333333333333333,False,False,False,weak_no,weak_no,False,False,True
selected,3OVHNO1VE7DM88839SCXW4MP40ODZU,val-24057,True,person1 is being recorded by a security camera,1.0,False,False,False,person1 is being shown from a security control room,1,False,False,False,yes,yes,False,True,False
