,assignment_id,img_id,answer_correct,explanation_ours,expl_score_ours,confusing_ours,incorrect_ours,insufficient_ours,explanation_gt,expl_score_gt,confusing_gt,incorrect_gt,insufficient_gt,expl_value_our,expl_value_gt,prefer_ours,prefer_gt,prefer_none
selected,3U088ZLJVL5OFT24MT4VIT8OT7GW0V,3449846784.jpg#3r1n,True,a dog is playing with a ball in the air,0.3333333333333333,False,False,True,this is a dog playing outdoors,0.3333333333333333,False,False,True,weak_no,weak_no,False,False,True
selected,3U088ZLJVL5OFT24MT4VIT8OT7GW0V,4606522320.jpg#2r1c,True,red and blue are different colors,1.0,False,False,True,men are in red caps cannot be wearing blue caps,0.3333333333333333,False,False,True,yes,weak_no,True,False,False
selected,3U088ZLJVL5OFT24MT4VIT8OT7GW0V,4890932738.jpg#2r1e,True,a human being is a woman,0.0,False,False,True,a person travels along hallway of stone archways,0,False,False,True,no,no,False,True,False
selected,3PJ71Z61R5EDAMAEP1Y3IEJN00V19B,1546632452.jpg#0r3e,True,jumping on a trampoline implies moving up and down,1.0,False,False,False,bouncing almost the same as moving up and down,1,False,False,False,yes,yes,True,False,False
selected,3PJ71Z61R5EDAMAEP1Y3IEJN00V19B,3449846784.jpg#3r1n,True,a dog is playing with a ball in the air,1.0,False,False,False,this is a dog playing outdoors,1,False,False,False,yes,yes,False,True,False
selected,3PJ71Z61R5EDAMAEP1Y3IEJN00V19B,4606522320.jpg#2r1c,True,red and blue are different colors,1.0,False,False,False,men are in red caps cannot be wearing blue caps,1,False,False,False,yes,yes,True,False,False
selected,3PJ71Z61R5EDAMAEP1Y3IEJN00V19B,4890932738.jpg#2r1e,True,a human being is a woman,1.0,False,False,False,a person travels along hallway of stone archways,1,False,False,False,yes,yes,False,True,False
selected,30BXRYBRP59ZQT80K1BGOL75FO1HW1,1546632452.jpg#0r3e,True,jumping on a trampoline implies moving up and down,1.0,False,False,False,bouncing almost the same as moving up and down,1,False,False,False,yes,yes,True,False,False
selected,30BXRYBRP59ZQT80K1BGOL75FO1HW1,3449846784.jpg#3r1n,True,a dog is playing with a ball in the air,1.0,False,False,False,this is a dog playing outdoors,1,False,False,False,yes,yes,True,False,False
selected,30BXRYBRP59ZQT80K1BGOL75FO1HW1,4606522320.jpg#2r1c,True,red and blue are different colors,0.0,False,True,False,men are in red caps cannot be wearing blue caps,1,False,True,False,no,yes,False,True,False
selected,30BXRYBRP59ZQT80K1BGOL75FO1HW1,4803984649.jpg#3r1c,True,the man cannot be standing and chasing dogs simultaneously,1.0,False,False,False,standing and chasing are different kind of actions,1,False,False,False,yes,yes,True,False,False
selected,30BXRYBRP59ZQT80K1BGOL75FO1HW1,4890932738.jpg#2r1e,True,a human being is a woman,1.0,False,False,False,a person travels along hallway of stone archways,1,False,False,False,yes,yes,False,True,False
selected,3OS46CRSLGB6EFOEY8FG5SZ1Z1J6VF,1546632452.jpg#0r3e,True,jumping on a trampoline implies moving up and down,1.0,False,False,False,bouncing almost the same as moving up and down,1,False,False,False,yes,yes,False,False,True
selected,3OS46CRSLGB6EFOEY8FG5SZ1Z1J6VF,3449846784.jpg#3r1n,True,a dog is playing with a ball in the air,1.0,False,False,False,this is a dog playing outdoors,1,False,False,False,yes,yes,False,False,True
selected,3OS46CRSLGB6EFOEY8FG5SZ1Z1J6VF,4606522320.jpg#2r1c,True,red and blue are different colors,1.0,False,False,False,men are in red caps cannot be wearing blue caps,1,False,False,False,yes,yes,False,True,False
selected,3OS46CRSLGB6EFOEY8FG5SZ1Z1J6VF,4803984649.jpg#3r1c,True,the man cannot be standing and chasing dogs simultaneously,1.0,False,False,False,standing and chasing are different kind of actions,1,False,False,False,yes,yes,False,False,True
selected,3OS46CRSLGB6EFOEY8FG5SZ1Z1J6VF,4890932738.jpg#2r1e,True,a human being is a woman,0.6666666666666666,False,False,False,a person travels along hallway of stone archways,0.6666666666666666,False,False,False,weak_yes,weak_yes,False,False,True
selected,34BBWHLWHBNZMOJKQJT1OX8KF1KWID,1546632452.jpg#0r3e,True,jumping on a trampoline implies moving up and down,1.0,False,False,False,bouncing almost the same as moving up and down,1,False,False,False,yes,yes,False,True,False
selected,34BBWHLWHBNZMOJKQJT1OX8KF1KWID,3449846784.jpg#3r1n,True,a dog is playing with a ball in the air,1.0,False,False,False,this is a dog playing outdoors,1,False,False,False,yes,yes,True,False,False
selected,34BBWHLWHBNZMOJKQJT1OX8KF1KWID,4606522320.jpg#2r1c,True,red and blue are different colors,1.0,False,False,False,men are in red caps cannot be wearing blue caps,1,False,False,False,yes,yes,False,True,False
selected,34BBWHLWHBNZMOJKQJT1OX8KF1KWID,4803984649.jpg#3r1c,True,the man cannot be standing and chasing dogs simultaneously,1.0,False,False,False,standing and chasing are different kind of actions,1,False,False,False,yes,yes,False,True,False
selected,34BBWHLWHBNZMOJKQJT1OX8KF1KWID,4890932738.jpg#2r1e,True,a human being is a woman,1.0,False,False,False,a person travels along hallway of stone archways,1,False,False,False,yes,yes,True,False,False
selected,3OLQQLKKNT110ZHZN1KVESGKLCBJE3,5489602545.jpg#3r1e,True,a woman is someone,0.3333333333333333,False,False,True,a shopkeeper is someone,1,False,False,True,weak_no,yes,False,True,False
selected,3OLQQLKKNT110ZHZN1KVESGKLCBJE3,511749704.jpg#4r1e,True,a boy in a red shirt is wearing red,1.0,False,False,False,a little boy in red is the same thing as wearing red,1,False,False,False,yes,yes,False,False,True
selected,3OLQQLKKNT110ZHZN1KVESGKLCBJE3,410422753.jpg#4r5e,True,a dog is running through the snow so there must be snow in the picture,1.0,False,False,False,if a dog is in the snow then there is snow,1,False,False,False,yes,yes,False,False,True
selected,3OLQQLKKNT110ZHZN1KVESGKLCBJE3,3731739486.jpg#4r1n,True,just because people are getting off a school bus does not mean they are going home from work,1.0,False,False,False,the people getting on the bus could be going home from work or going on a trip,1,False,False,False,yes,yes,False,False,True
selected,3OLQQLKKNT110ZHZN1KVESGKLCBJE3,2852982055.jpg#3r1n,True,not all people are a family,1.0,False,False,False,the relationship of the people in the picture is unclear or if they are a family,1,False,False,False,yes,yes,False,True,False
selected,3VZLGYJEYMM06EDK0SD9QBPHKGRXZ3,5489602545.jpg#3r1e,True,a woman is someone,0.3333333333333333,True,False,True,a shopkeeper is someone,0.3333333333333333,True,False,True,weak_no,weak_no,False,False,True
selected,3VZLGYJEYMM06EDK0SD9QBPHKGRXZ3,511749704.jpg#4r1e,True,a boy in a red shirt is wearing red,1.0,False,False,False,a little boy in red is the same thing as wearing red,0.6666666666666666,False,False,False,yes,weak_yes,True,False,False
selected,3VZLGYJEYMM06EDK0SD9QBPHKGRXZ3,410422753.jpg#4r5e,True,a dog is running through the snow so there must be snow in the picture,1.0,False,False,False,if a dog is in the snow then there is snow,0.6666666666666666,False,False,False,yes,weak_yes,True,False,False
selected,3VZLGYJEYMM06EDK0SD9QBPHKGRXZ3,3731739486.jpg#4r1n,True,just because people are getting off a school bus does not mean they are going home from work,1.0,False,False,False,the people getting on the bus could be going home from work or going on a trip,1,False,False,False,yes,yes,False,False,True
selected,3VZLGYJEYMM06EDK0SD9QBPHKGRXZ3,2852982055.jpg#3r1n,True,not all people are a family,1.0,False,False,False,the relationship of the people in the picture is unclear or if they are a family,1,False,False,False,yes,yes,False,True,False
selected,3DUZQ9U6SN0B1DMB5LIJ6XVTHTBVSR,5489602545.jpg#3r1e,True,a woman is someone,0.0,False,True,False,a shopkeeper is someone,0.3333333333333333,False,True,False,no,weak_no,False,True,False
selected,3DUZQ9U6SN0B1DMB5LIJ6XVTHTBVSR,511749704.jpg#4r1e,True,a boy in a red shirt is wearing red,1.0,False,False,False,a little boy in red is the same thing as wearing red,1,False,False,False,yes,yes,False,False,True
