,assignment_id,img_id,answer_correct,explanation_ours,expl_score_ours,confusing_ours,incorrect_ours,insufficient_ours,explanation_gt,expl_score_gt,confusing_gt,incorrect_gt,insufficient_gt,expl_value_our,expl_value_gt,prefer_ours,prefer_gt,prefer_none
selected,3D8YOU6S9FW610ZETI5B96XILUL6U1,332318004,True,they are brown and white,0.6666666666666666,False,True,False,"they are a herd of large, brown, domestic animals",1,False,True,False,weak_yes,yes,False,True,False
selected,3D8YOU6S9FW610ZETI5B96XILUL6U1,534019002,True,the food is cooked,1.0,False,False,False,the colors of the vegetabbles are dark,0,False,False,False,yes,no,True,False,False
selected,3D8YOU6S9FW610ZETI5B96XILUL6U1,341389004,True,they are on a snowy mountain,1.0,False,True,False,"they have the proper equipment, and there is snow",1,False,True,False,yes,yes,False,False,True
selected,3D8YOU6S9FW610ZETI5B96XILUL6U1,490694000,True,the screen is bright,1.0,False,True,False,the computer screen shows some bright light on it,1,False,True,False,yes,yes,False,False,True
selected,3D8YOU6S9FW610ZETI5B96XILUL6U1,67491001,True,it is a cartoon plane,1.0,False,False,False,it is brightly painted with cartoon characters,1,False,False,False,yes,yes,True,False,False
selected,3EJPLAJKENSNNZTOZ54JQYCXNC2Z6L,332318004,True,they are brown and white,0.6666666666666666,False,True,True,"they are a herd of large, brown, domestic animals",1,False,True,True,weak_yes,yes,False,True,False
selected,3EJPLAJKENSNNZTOZ54JQYCXNC2Z6L,534019002,True,the food is cooked,1.0,False,False,False,the colors of the vegetabbles are dark,1,False,False,False,yes,yes,True,False,False
selected,3EJPLAJKENSNNZTOZ54JQYCXNC2Z6L,341389004,True,they are on a snowy mountain,1.0,False,False,False,"they have the proper equipment, and there is snow",1,False,False,False,yes,yes,True,False,False
selected,3EJPLAJKENSNNZTOZ54JQYCXNC2Z6L,490694000,True,the screen is bright,1.0,False,False,False,the computer screen shows some bright light on it,1,False,False,False,yes,yes,False,False,False
selected,3EJPLAJKENSNNZTOZ54JQYCXNC2Z6L,67491001,True,it is a cartoon plane,1.0,False,False,False,it is brightly painted with cartoon characters,1,False,False,False,yes,yes,False,False,True
selected,3LWJHTCVCDYAS0L8D2OATBD6B8IFQ8,332318004,True,they are brown and white,0.0,False,True,False,"they are a herd of large, brown, domestic animals",1,False,True,False,no,yes,False,True,False
selected,3LWJHTCVCDYAS0L8D2OATBD6B8IFQ8,534019002,True,the food is cooked,1.0,False,False,False,the colors of the vegetabbles are dark,1,False,False,False,yes,yes,False,True,False
selected,3LWJHTCVCDYAS0L8D2OATBD6B8IFQ8,341389004,True,they are on a snowy mountain,1.0,False,False,False,"they have the proper equipment, and there is snow",0,False,False,False,yes,no,True,False,False
selected,3LWJHTCVCDYAS0L8D2OATBD6B8IFQ8,490694000,True,the screen is bright,1.0,False,False,False,the computer screen shows some bright light on it,1,False,False,False,yes,yes,True,False,False
selected,3LWJHTCVCDYAS0L8D2OATBD6B8IFQ8,67491001,True,it is a cartoon plane,1.0,False,False,False,it is brightly painted with cartoon characters,1,False,False,False,yes,yes,True,False,False
