index,index_0,index_1,index_2,index_3,index_4,id_0,id_1,id_2,id_3,id_4,question_0,question_1,question_2,question_3,question_4,answer_0,answer_1,answer_2,answer_3,answer_4,output_answer_0,output_answer_1,output_answer_2,output_answer_3,output_answer_4,output_explanation_0,output_explanation_1,output_explanation_2,output_explanation_3,output_explanation_4,explanation_0,explanation_1,explanation_2,explanation_3,explanation_4,other_answer1_0,other_answer1_1,other_answer1_2,other_answer1_3,other_answer1_4,other_answer2_0,other_answer2_1,other_answer2_2,other_answer2_3,other_answer2_4,img_name_0,img_name_1,img_name_2,img_name_3,img_name_4
0,1112,166,1239,1495,1083,332318004,534019002,341389004,490694000,67491001,What kind of animals are in the field?,Does this meal appear cooked?,What are the people doing?,Is the computer on or off?,Is this a military plane?,cows,yes,skiing,on,no,cows,yes,skiing,on,no,they are brown and white,the food is cooked,they are on a snowy mountain,the screen is bright,it is a cartoon plane,"they are a herd of large, brown, domestic animals",the colors of the vegetabbles are dark,"they have the proper equipment, and there is snow",the computer screen shows some bright light on it,it is brightly painted with cartoon characters,broccoli,summer,bus station,horse,classroom,birthday,microwave,owl,kite,texting,332318004.jpg,534019002.jpg,341389004.jpg,490694000.jpg,67491001.jpg
5,129,1103,1720,703,1417,530854003,200717011,531875001,434673001,484434001,Is it raining?,Is it daytime?,What kind of vegetable is this?,What sport is this?,Is it raining?,yes,yes,carrot,tennis,yes,yes,yes,carrot,tennis,yes,the umbrellas are open and the ground is wet,the sun is shining and the man is playing frisbee,"it is a long, thin, orange vegetable with a long stem",the man is holding a tennis racket,people are holding umbrellas,there is water on the umbrellas,the sun is casting shadows on the ground,they are long and orange,the man is on a tennis court holding a tennis racket,everyone is holding an umbrella,chair,tennis,cow,bear,checked,dog,no,skateboarding,wood,frisbee,530854003.jpg,200717011.jpg,531875001.jpg,434673001.jpg,484434001.jpg
10,1732,1463,321,1290,67,506717000,487990002,543566000,345154005,265971001,Is this a professional game?,Is this a birthday party?,What is the cat doing?,Does the grass need to be cut?,What sport are they playing?,no,yes,sleeping,yes,tennis,no,yes,sleeping,yes,tennis,the players are wearing white uniforms,there are birthday cakes and cupcakes,it is sleeping with its eyes closed,it is tall and green,the man is holding a tennis racket,the field is not a professional field but a field near a park,there is a birthday cake with candles,cats must sleep to restore their bodies,the grass comes up to the calves of the man,there is an athlete with a racket,airport,reading,texting,cow,on,soccer,owl,carrot,modern,chair,506717000.jpg,487990002.jpg,543566000.jpg,345154005.jpg,265971001.jpg
15,509,1814,244,189,1407,554523027,381360002,14743000,535135007,352744001,Which room is this?,What is the man doing?,Does the fence look hand built?,Is he near the crest of the wave?,What room is this?,kitchen,surfing,yes,yes,bathroom,kitchen,surfing,yes,yes,bathroom,there is a refrigerator and a dishwasher,he is riding a surfboard on a wave,it is made of wood,he is on the crest of the wave,there is a bathtub and a sink,there is a refrigerator and stove with a pot,he is standing on waves,the fence is very irregular and is made from rough pieces,his surfboard is nearly to the top,there is a toilet and bathtub,horse,modern,cake,sheep,living room,modern,tomato,cow,pizza,bear,554523027.jpg,381360002.jpg,14743000.jpg,535135007.jpg,352744001.jpg
20,78,961,41,1712,306,528575001,318138001,133251014,505814001,18158002,What is the boy doing?,Is this person sad?,What is the dog doing?,Does this man have any hair on his head?,What season is this?,sleeping,no,sleeping,no,summer,sleeping,no,sleeping,no,summer,he is laying in bed with a teddy bear,he is smiling and playing a game,he is laying down on a cushion,he has no hair on his head,the people are wearing shorts and t-shirts,his eyes are closed in his bed,she is smiling while playing a game,he is laying in his bed,he has shaven his head bald,people are wearing shorts,bathroom,kitchen,skiing,surfing,checked,birthday,cups,frisbee,halloween,birthday,528575001.jpg,318138001.jpg,133251014.jpg,505814001.jpg,18158002.jpg
25,1235,339,464,389,226,428231000,151347006,420059001,154154002,537672004,Is this modern or Victorian style furniture?,Is it cloudy?,What kind of flooring is seen?,What is the boy doing?,What kind of room is this?,modern,no,wood,skateboarding,kitchen,modern,no,wood,skateboarding,kitchen,it is modern and has a modern look,the sky is blue and there is no clouds,it is brown and has grain,he is jumping with a skateboard,there is a refrigerator and a chair,the style of furniture is new and sleek,the sky is completely clear,it is brown and made of wood,the boy's feet are on a skateboard,it has a appliance specifically meant for cooling and freezing perishable foods,skateboarding,airport,kitchen,airport,truck,birthday,visor,pizza,microwave,beach,428231000.jpg,151347006.jpg,420059001.jpg,154154002.jpg,537672004.jpg
30,1806,1596,119,1763,332,118432009,156246000,268340001,508950001,309120001,Is it raining?,What kind of animal is this?,Do the mountains have a high elevation?,What are they drinking?,What kind of sport is he playing?,no,elephant,yes,water,soccer,no,elephant,yes,water,soccer,the sky is clear and the ground is dry,it has a trunk and a long trunk,they are very high,they are drinking from glasses,he is holding a soccer ball,people are outside wearing t-shirts and shorts and flying kites,"the animal is much bigger than the boy, and has large gray floppy ears and a trunk",mountains appear in the horizon at higher than eye level,the glasses are filled with colorless liquid,there are two soccer balls,chinese,skiing,tennis,van,water,palm,microwave,soccer,texting,bear,118432009.jpg,156246000.jpg,268340001.jpg,508950001.jpg,309120001.jpg
35,815,693,873,1840,1960,178911004,434098027,313057003,514550002,261563004,What type of vehicle is this?,What room is this?,Is this a passenger train?,What is the boy doing?,What kind of animal is this?,train,bathroom,yes,skateboarding,dog,train,bathroom,yes,skateboarding,dog,it is a long train with many cars,there is a toilet and a sink,there are cars with windows for passengers,he is doing a trick on a skateboard,it has a long snout and a long tail,it is a vehicle with multiple attached cars on a train track,"the man is taking a pic of his bathroom, as you can see in the mirror",there are passenger cars attached and not freight cars,he is riding on a ramp using a skateboard,the black one is a labrador holding a frisbee in it's mouth with a pit bull tugging on it,modern,tomato,texting,tennis,soccer,baseball,fire truck,dining room,keyboard,cows,178911004.jpg,434098027.jpg,313057003.jpg,514550002.jpg,261563004.jpg
40,434,1925,1364,1259,355,287560000,389738002,480470068,57224002,413959005,Which room is this?,What are the people doing?,Is the plane landing?,Is the weather warm?,Is the image taken in color or monochrome?,bathroom,skiing,no,no,color,bathroom,skiing,no,no,color,there is a toilet and a sink,they are on skis on a snowy hill,the kite is in the air,the skiers are wearing ski gear,the picture is in color,there is two toilet paper rolls on the wall next to a toilet,they are playing in a skiing resort,it is high in the sky,there is snow and everyone is bundled up,the brightly colored horse and carriage are in full color,checked,keyboard,truck,texting,pizza,cake,reading,owl,yes,summer,287560000.jpg,389738002.jpg,480470068.jpg,57224002.jpg,413959005.jpg
45,1250,1581,1725,124,586,473299000,103806002,506540001,399543000,296988004,What is the person doing?,What room of the house is this?,What type of trees is showing?,What kind of court is this?,What kind of vehicle is shown?,snowboarding,kitchen,palm,tennis,truck,snowboarding,kitchen,palm,tennis,truck,he is on a snowboard,there is a refrigerator and a stove,they have long leaves,the court is blue with white lines,it is a large truck with a trailer,a rider is gliding down a snow covered slope standing on a board,a dishwasher and refrigerator are in the room,"they have long, green leaves",there is a net and the tennis players are hitting the ball over it,it has a small cab with a large container on the back,water,yes,cake,kitchen,chair,color,sheep,soccer,truck,baseball,473299000.jpg,103806002.jpg,506540001.jpg,399543000.jpg,296988004.jpg
